Employee Name,Department,Monthly Sales,Order Date,Delivery Date,Status,Quantity Sold,Unit Price,Revenue,,,,,,,
Megan Young,HR,13111,05-11-2024,06-11-2024,Pending,44,70,3080,,,,,,,
Steve Sanchez,IT,6736,22-11-2024,25-11-2024,Pending,10,82,820,,,,,,,
Lisa Barnes,HR,3802,29-11-2024,08-12-2024,Completed,49,23,1127,,,,,,,
Kelly Donovan,IT,10155,23-11-2024,24-11-2024,Completed,73,20,1460,,,,,,,
Mike Allen,HR,10120,03-11-2024,12-11-2024,Completed,31,27,837,,,,,,,
Michael Evans,Sales,8616,12-11-2024,20-11-2024,Pending,69,48,3312,,,,,,,
Paul Jones,HR,16257,26-11-2024,27-11-2024,Completed,73,74,5402,,,,,,,
Zachary Ferrell,IT,16486,16-11-2024,22-11-2024,Completed,81,22,1782,,,,,,,
Daniel Baker,IT,18646,19-11-2024,24-11-2024,Completed,20,51,1020,,,,,,,
Shirley Suarez,Finance,16075,05-11-2024,11-11-2024,Pending,23,29,667,,,,,,,
Christopher Bass,Sales,11208,22-11-2024,27-11-2024,Completed,69,93,6417,,,,,,,
Lisa Archer,HR,18371,25-11-2024,01-12-2024,Pending,39,53,2067,,,,,,,
Aimee Montoya,Finance,13835,29-11-2024,04-12-2024,Pending,44,74,3256,,,,,,,
Matthew Mcmillan,HR,15168,14-11-2024,19-11-2024,Completed,94,51,4794,,,,,,,
Brian Rodriguez,HR,4049,28-11-2024,02-12-2024,Completed,46,69,3174,,,,,,,
Denise Jacobs,Finance,7423,05-11-2024,08-11-2024,Pending,14,26,364,,,,,,,
Christina Walters,Finance,16589,15-11-2024,18-11-2024,Completed,92,27,2484,,,,,,,
John Whitehead,Finance,9158,17-11-2024,21-11-2024,Completed,87,84,7308,,,,,,,
Anna Henderson,Finance,12248,30-11-2024,09-12-2024,Pending,35,76,2660,,,,,,,
Aaron Wise,Finance,9400,14-11-2024,16-11-2024,Pending,71,86,6106,,,,,,,
Deborah Figueroa,HR,11874,30-11-2024,09-12-2024,Completed,13,78,1014,,,,,,,
Jessica Smith,Finance,17151,20-11-2024,21-11-2024,Pending,98,91,8918,,,,,,,
Stephen Mckee,Sales,3154,05-11-2024,06-11-2024,Completed,51,73,3723,,,,,,,
Sandra Aguilar,IT,6499,12-11-2024,17-11-2024,Completed,98,86,8428,,,,,,,
Cameron Parker,Finance,8295,16-11-2024,22-11-2024,Completed,27,70,1890,,,,,,,
Rebecca Valencia,Finance,14183,26-11-2024,02-12-2024,Pending,49,27,1323,,,,,,,
Christine Wright,HR,14874,26-11-2024,29-11-2024,Completed,81,53,4293,,,,,,,
Richard Henson,Finance,7539,16-11-2024,23-11-2024,Completed,48,54,2592,,,,,,,
Marc Moore,Finance,11637,21-11-2024,30-11-2024,Completed,23,97,2231,,,,,,,
Sharon Cherry,Finance,17586,07-11-2024,15-11-2024,Pending,41,51,2091,,,,,,,
Sierra Johnson,HR,4557,04-11-2024,10-11-2024,Pending,60,65,3900,,,,,,,
Evelyn Galvan,Finance,7592,01-11-2024,09-11-2024,Pending,47,35,1645,,,,,,,
Sharon Cochran,IT,18482,30-11-2024,05-12-2024,Pending,32,87,2784,,,,,,,
Richard Rodriguez,HR,4200,30-11-2024,08-12-2024,Pending,72,56,4032,,,,,,,
Shannon Walker,IT,16172,05-11-2024,09-11-2024,Completed,24,73,1752,,,,,,,
Julia Torres,HR,4961,23-11-2024,01-12-2024,Pending,34,33,1122,,,,,,,
Crystal Johnson,Finance,16207,26-11-2024,28-11-2024,Pending,26,74,1924,,,,,,,
Garrett Lin,IT,13969,10-11-2024,15-11-2024,Pending,75,67,5025,,,,,,,
Diana May,HR,4869,22-11-2024,01-12-2024,Completed,87,26,2262,,,,,,,
William Herrera,Sales,19340,05-11-2024,09-11-2024,Pending,62,93,5766,,,,,,,
Ashley Waller,Finance,15992,04-11-2024,10-11-2024,Pending,60,26,1560,,,,,,,
Victor Baker,HR,7699,02-11-2024,03-11-2024,Completed,48,52,2496,,,,,,,
Jeffrey Chandler,Sales,5987,20-11-2024,29-11-2024,Pending,60,42,2520,,,,,,,
Larry Dixon,HR,15446,10-11-2024,11-11-2024,Completed,79,38,3002,,,,,,,
Kenneth Scott,Sales,3218,26-11-2024,01-12-2024,Completed,15,38,570,,,,,,,
April Frost,Finance,6735,19-11-2024,23-11-2024,Completed,76,55,4180,,,,,,,
Michelle Harmon,IT,13296,26-11-2024,29-11-2024,Completed,16,48,768,,,,,,,
Helen Jones,Sales,6555,01-11-2024,07-11-2024,Completed,60,79,4740,,,,,,,
Erin Edwards,HR,11146,24-11-2024,26-11-2024,Pending,81,21,1701,,,,,,,
Michelle Evans,Finance,10050,05-11-2024,08-11-2024,Completed,51,20,1020,,,,,,,
Jason Powell,Sales,14757,13-11-2024,18-11-2024,Completed,73,66,4818,,,,,,,
Cameron Fisher,HR,19429,04-11-2024,13-11-2024,Pending,24,88,2112,,,,,,,
Megan Orr,HR,8893,16-11-2024,18-11-2024,Completed,38,39,1482,,,,,,,
Elizabeth Kelley,HR,16373,24-11-2024,02-12-2024,Pending,42,30,1260,,,,,,,
Dustin Jordan,Sales,16565,16-11-2024,18-11-2024,Pending,36,21,756,,,,,,,
Mary Marshall,Sales,5436,23-11-2024,28-11-2024,Pending,45,86,3870,,,,,,,
Daniel Kennedy,Sales,10754,02-11-2024,09-11-2024,Completed,38,31,1178,,,,,,,
Rebecca Jackson,IT,12677,17-11-2024,25-11-2024,Completed,47,39,1833,,,,,,,
Jose Schultz,Sales,7895,28-11-2024,29-11-2024,Completed,66,24,1584,,,,,,,
Robert Potter,Sales,18609,27-11-2024,03-12-2024,Pending,36,56,2016,,,,,,,
Courtney Gonzalez,Sales,17636,20-11-2024,21-11-2024,Completed,64,57,3648,,,,,,,
David Alvarez,IT,9022,24-11-2024,26-11-2024,Completed,42,28,1176,,,,,,,
Angel Perry,Sales,11151,12-11-2024,13-11-2024,Completed,77,72,5544,,,,,,,
Cheyenne Horton,HR,7600,18-11-2024,23-11-2024,Pending,95,63,5985,,,,,,,
David Douglas Jr.,Sales,9996,03-11-2024,12-11-2024,Pending,75,43,3225,,,,,,,
Patricia Rodriguez,HR,11007,28-11-2024,04-12-2024,Completed,19,93,1767,,,,,,,
Christopher Rubio,HR,14946,01-11-2024,02-11-2024,Completed,14,49,686,,,,,,,
Amber Wright,HR,6642,01-11-2024,02-11-2024,Completed,83,78,6474,,,,,,,
Joyce Solis,IT,13312,29-11-2024,01-12-2024,Completed,47,33,1551,,,,,,,
Victoria Larson,IT,9679,19-11-2024,28-11-2024,Pending,22,28,616,,,,,,,
Stephanie Salazar,IT,10208,11-11-2024,14-11-2024,Pending,40,59,2360,,,,,,,
Kathy Rivas,Sales,12716,05-11-2024,06-11-2024,Pending,56,85,4760,,,,,,,
Stephanie Manning,HR,19453,12-11-2024,17-11-2024,Pending,97,44,4268,,,,,,,
David Wright,IT,5444,03-11-2024,10-11-2024,Completed,61,92,5612,,,,,,,
Pamela Boyd,IT,12757,01-11-2024,07-11-2024,Completed,65,41,2665,,,,,,,
Denise Jones,Sales,16434,01-11-2024,02-11-2024,Completed,24,23,552,,,,,,,
Devon Flores,IT,3060,08-11-2024,13-11-2024,Pending,38,45,1710,,,,,,,
Brenda Hall,Sales,5420,10-11-2024,15-11-2024,Completed,17,77,1309,,,,,,,
Michelle Brown,Finance,2301,11-11-2024,17-11-2024,Pending,14,48,672,,,,,,,
Joshua Perry,IT,14468,12-11-2024,15-11-2024,Pending,38,56,2128,,,,,,,
Jason Stein,Finance,18990,29-11-2024,04-12-2024,Completed,56,94,5264,,,,,,,
Melissa Gates,Sales,2699,13-11-2024,20-11-2024,Completed,77,89,6853,,,,,,,
Jamie Smith,HR,2190,12-11-2024,17-11-2024,Completed,85,37,3145,,,,,,,
Paul Castaneda,IT,12492,14-11-2024,19-11-2024,Pending,54,61,3294,,,,,,,
Jennifer Adkins,Sales,19364,02-11-2024,07-11-2024,Completed,11,60,660,,,,,,,
Lindsey Walker,HR,4975,29-11-2024,02-12-2024,Pending,36,57,2052,,,,,,,
Jeffrey Johnson,HR,8102,19-11-2024,20-11-2024,Completed,45,53,2385,,,,,,,
Michael Powell,Finance,19568,18-11-2024,23-11-2024,Pending,45,36,1620,,,,,,,
John Anderson,Sales,3816,03-11-2024,12-11-2024,Pending,35,56,1960,,,,,,,
Alyssa Long,HR,2569,23-11-2024,24-11-2024,Completed,52,44,2288,,,,,,,
Alyssa Day,IT,7442,17-11-2024,20-11-2024,Pending,36,95,3420,,,,,,,
Joel Williams,IT,3895,26-11-2024,30-11-2024,Pending,78,46,3588,,,,,,,
Daniel Murphy,Finance,5863,08-11-2024,09-11-2024,Completed,29,76,2204,,,,,,,
Jamie Walton,HR,14913,29-11-2024,30-11-2024,Pending,20,50,1000,,,,,,,
Darlene Miller,Sales,9455,26-11-2024,04-12-2024,Completed,83,25,2075,,,,,,,
Joshua Cooke,IT,6014,10-11-2024,12-11-2024,Pending,47,59,2773,,,,,,,
Matthew Harrington,HR,13093,26-11-2024,04-12-2024,Completed,15,31,465,,,,,,,
Nicole Herring,HR,5009,30-11-2024,07-12-2024,Completed,81,72,5832,,,,,,,
Alex Hernandez,Finance,18538,02-11-2024,04-11-2024,Pending,32,90,2880,,,,,,,
Michael Elliott,IT,12729,19-11-2024,25-11-2024,Pending,56,29,1624,,,,,,,
Michael Wang,IT,3409,09-11-2024,15-11-2024,Pending,99,64,6336,,,,,,,
Lawrence Adkins,Sales,14249,07-11-2024,10-11-2024,Pending,55,36,1980,,,,,,,
Robert Oconnell,IT,2784,04-11-2024,06-11-2024,Pending,21,45,945,,,,,,,
Alexander Collins,Sales,10096,26-11-2024,27-11-2024,Completed,99,81,8019,,,,,,,
Tina Sanders,IT,9560,21-11-2024,27-11-2024,Pending,22,65,1430,,,,,,,
Angela Vaughn,Finance,14533,18-11-2024,23-11-2024,Completed,71,83,5893,,,,,,,
Ashley Barton,IT,9343,13-11-2024,22-11-2024,Completed,91,21,1911,,,,,,,
Lindsay Martinez,Sales,9206,11-11-2024,12-11-2024,Pending,98,73,7154,,,,,,,
Dr. Hannah Patterson,Sales,7801,29-11-2024,06-12-2024,Completed,69,84,5796,,,,,,,
Jonathan Peterson,Finance,18921,24-11-2024,29-11-2024,Completed,52,70,3640,,,,,,,
Samantha Garcia,IT,7986,04-11-2024,09-11-2024,Completed,85,72,6120,,,,,,,
Madison Poole,IT,12647,25-11-2024,27-11-2024,Completed,77,55,4235,,,,,,,
Jessica Gross,Finance,10716,21-11-2024,24-11-2024,Pending,14,45,630,,,,,,,
Debra Morton,IT,14323,29-11-2024,06-12-2024,Completed,46,48,2208,,,,,,,
Karen Graham,IT,6780,25-11-2024,01-12-2024,Pending,81,40,3240,,,,,,,
Debra Christian,Sales,4368,04-11-2024,06-11-2024,Pending,40,30,1200,,,,,,,
Angelica Keith,IT,14039,10-11-2024,16-11-2024,Completed,18,59,1062,,,,,,,
John Bishop,IT,8655,05-11-2024,07-11-2024,Pending,60,30,1800,,,,,,,
Allen Rosales,Finance,10173,09-11-2024,11-11-2024,Pending,38,55,2090,,,,,,,
Daniel Salinas,Finance,6495,24-11-2024,26-11-2024,Pending,87,78,6786,,,,,,,
Spencer Haynes,HR,12893,03-11-2024,06-11-2024,Completed,49,58,2842,,,,,,,
Adam Vaughan,Sales,15403,17-11-2024,19-11-2024,Pending,50,73,3650,,,,,,,
Nathan Freeman,IT,15121,03-11-2024,07-11-2024,Pending,95,74,7030,,,,,,,
